CO_ANO;NO_PAIS;CORRENTE;RANK
2024;China;158.008.382.165;1
2024;Estados Unidos;81.020.986.612;2
2024;Argentina;27.354.666.345;3
2024;Alemanha;19.630.078.174;4
2024;Países Baixos (Holanda);14.026.413.831;5
2024;Espanha;13.946.828.670;6
2024;México;13.569.307.768;7
2024;Rússia;12.415.510.871;8
2024;Índia;12.123.250.775;9
2024;Chile;11.610.115.323;10
2024;Japão;11.008.783.857;11
2024;Itália;10.855.069.123;12
2024;Coreia do Sul;10.660.293.852;13
2024;França;9.153.655.208;14
2024;Canadá;9.101.081.809;15
2024;Singapura;8.681.613.746;16
2024;Vietnã;7.700.076.612;17
2024;Paraguai;7.233.179.971;18
2024;Indonésia;6.335.178.519;19
2024;Reino Unido;6.230.974.782;20
2024;Arábia Saudita;6.181.960.664;21
2024;Tailândia;5.910.475.333;22
2024;Malásia;5.863.067.508;23
2024;Bélgica;5.729.266.430;24
2024;Emirados Árabes Unidos;5.446.295.332;25
2024;Colômbia;5.351.047.402;26
2024;Turquia;5.127.990.745;27
2024;Uruguai;4.964.962.452;28
2024;Egito;4.919.506.119;29
2024;Portugal;4.752.154.819;30
2024;Taiwan (Formosa);4.468.519.675;31
2024;Suíça;4.414.725.850;32
2024;Peru;4.325.441.469;33
2024;Argélia;3.964.876.305;34
2024;Suécia;3.149.165.490;35
2024;Irã;3.011.491.325;36
2024;Bolívia;2.790.088.005;37
2024;Marrocos;2.783.182.720;38
2024;Bangladesh;2.726.437.035;39
2024;Hong Kong;2.560.122.965;40
2024;Filipinas;2.431.519.988;41
2024;Polônia;2.414.469.506;42
2024;Noruega;2.365.618.265;43
2024;Dinamarca;2.213.887.289;44
2024;Nigéria;2.091.686.143;45
2024;África do Sul;2.036.718.604;46
2024;Austrália;2.013.016.708;47
2024;Omã;2.005.027.383;48
2024;Iraque;1.886.916.978;49
2024;Israel;1.875.866.711;50
2024;Venezuela;1.618.804.088;51
2024;Angola;1.570.655.516;52
2024;Irlanda;1.505.887.820;53
2024;Áustria;1.490.878.088;54
2024;Guiana;1.247.402.257;55
2024;Barein;1.202.942.521;56
2024;Catar;1.189.587.025;57
2024;Finlândia;1.145.250.804;58
2024;Brasil;1.121.397.853;59
